date,time,station,magfield,gpslat,gpslon
26/03/2019,120204,0,40147.4,19.660553,-101.208384
26/03/2019,120320,1,40099.0,19.660705,-101.208489
26/03/2019,120421,2,40131.4,19.660856,-101.208593
26/03/2019,120535,44,40129.2,19.660801,-101.208005
26/03/2019,120741,3,40126.6,19.661008,-101.208697
26/03/2019,120750,43,40123.0,19.660963,-101.20812
26/03/2019,120845,4,40178.6,19.661159,-101.208801
26/03/2019,120902,42,40106.0,19.661118,-101.208211
26/03/2019,120931,5,40112.0,19.66131,-101.208905
26/03/2019,121011,6,40108.8,19.661462,-101.209009
26/03/2019,121036,41,40138.2,19.66128,-101.208305
26/03/2019,121045,7,40139.0,19.661613,-101.209113
26/03/2019,121120,8,40133.0,19.661765,-101.209217
26/03/2019,121153,9,40121.8,19.661916,-101.209321
26/03/2019,121223,40,40151.8,19.661423,-101.208421
26/03/2019,121229,10,40147.8,19.662067,-101.209425
26/03/2019,121309,11,40150.4,19.662219,-101.20953
26/03/2019,121334,39,40164.4,19.661566,-101.208516
26/03/2019,121341,12,40126.6,19.66237,-101.209634
26/03/2019,121413,13,40143.4,19.662521,-101.209738
26/03/2019,121433,38,40184.4,19.661711,-101.208598
26/03/2019,121446,14,40149.0,19.662673,-101.209842
26/03/2019,121517,15,40137.0,19.662824,-101.209946
26/03/2019,121545,16,40144.0,19.662976,-101.21005
26/03/2019,121553,37,40162.8,19.661876,-101.208733
26/03/2019,121634,17,40147.4,19.663127,-101.210154
26/03/2019,121719,18,40128.8,19.663278,-101.210258
26/03/2019,121725,36,40162.6,19.662023,-101.208844
26/03/2019,121733,35,40163.0,19.662023,-101.208841
26/03/2019,121807,19,40124.0,19.66343,-101.210362
26/03/2019,121919,34,40148.8,19.662178,-101.20893
26/03/2019,121940,20,39943.0,19.663581,-101.210466
26/03/2019,122038,33,40144.6,19.66233,-101.209039
26/03/2019,122139,32,40135.0,19.662465,-101.209135
26/03/2019,122303,21,40238.8,19.663733,-101.21057
26/03/2019,122305,31,40099.6,19.662645,-101.20926
26/03/2019,122410,30,40134.6,19.662803,-101.209358
26/03/2019,122522,22,40086.2,19.663884,-101.210675
26/03/2019,122525,29,40132.2,19.66292,-101.209435
26/03/2019,122725,28,40164.4,19.663078,-101.209566
26/03/2019,122809,23,40137.2,19.664035,-101.210779
26/03/2019,123143,27,40144.0,19.66322,-101.209675
26/03/2019,123201,26,40143.8,19.663211,-101.20967
