date,time,nT,sq
26/03/2019,110822,40133.95,99
26/03/2019,110842,40133.97,99
26/03/2019,110902,40114.49,99
26/03/2019,110922,40146.5,69
26/03/2019,110942,40148.01,99
26/03/2019,111002,40131.46,99
26/03/2019,111022,40120.1,99
26/03/2019,111042,40123.75,99
26/03/2019,111102,40121.74,99
26/03/2019,111122,40123.81,99
26/03/2019,111142,40129.48,99
26/03/2019,111202,40129.59,99
26/03/2019,111222,40126.66,99
26/03/2019,111242,40125.49,99
26/03/2019,111302,40129.2,99
26/03/2019,111322,40136.6,99
26/03/2019,111342,40131.93,99
26/03/2019,111402,40096.99,99
26/03/2019,111422,40195.03,59
26/03/2019,111442,40128.5,99
26/03/2019,111502,40123.32,99
26/03/2019,111522,40128.4,99
26/03/2019,111542,40123.62,99
26/03/2019,111602,40127.02,99
26/03/2019,111622,40127.22,99
26/03/2019,111642,40127.18,99
26/03/2019,111702,40127.2,99
26/03/2019,111722,40127.15,99
26/03/2019,111742,40127.1,99
26/03/2019,111802,40127.12,99
26/03/2019,111822,40127.13,99
26/03/2019,111842,40127.3,99
26/03/2019,111902,40127.38,99
26/03/2019,111922,40127.34,99
26/03/2019,111942,40127.46,99
26/03/2019,112002,40127.6,99
26/03/2019,112022,40127.66,99
26/03/2019,112042,40127.74,99
26/03/2019,112102,40127.66,99
26/03/2019,112122,40127.54,99
26/03/2019,112142,40127.67,99
26/03/2019,112202,40127.81,99
26/03/2019,112222,40127.81,99
26/03/2019,112242,40127.81,99
26/03/2019,112302,40127.86,99
26/03/2019,112322,40127.85,99
26/03/2019,112342,40127.91,99
26/03/2019,112402,40127.76,99
26/03/2019,112422,40127.9,99
26/03/2019,112442,40127.89,99
26/03/2019,112502,40127.88,99
26/03/2019,112522,40127.86,99
26/03/2019,112542,40127.92,99
26/03/2019,112602,40127.89,99
26/03/2019,112622,40127.82,99
26/03/2019,112642,40127.83,99
26/03/2019,112702,40127.89,99
26/03/2019,112722,40127.97,99
26/03/2019,112742,40128.02,99
26/03/2019,112802,40128.01,99
26/03/2019,112822,40128.05,99
26/03/2019,112842,40128.09,99
26/03/2019,112902,40128.18,99
26/03/2019,112922,40128.17,99
26/03/2019,112942,40128.2,99
26/03/2019,113002,40128.19,99
26/03/2019,113022,40128.18,99
26/03/2019,113042,40128.21,99
26/03/2019,113102,40128.09,99
26/03/2019,113122,40128.12,99
26/03/2019,113142,40128.11,99
26/03/2019,113202,40128.16,99
26/03/2019,113222,40128.2,99
26/03/2019,113242,40128,99
26/03/2019,113302,40127.58,99
26/03/2019,113322,40127.03,99
26/03/2019,113342,40126.78,99
26/03/2019,113402,40127.22,99
26/03/2019,113422,40127.25,99
26/03/2019,113442,40127.17,99
26/03/2019,113502,40127.16,99
26/03/2019,113522,40127.18,99
26/03/2019,113542,40127.13,99
26/03/2019,113602,40127.22,99
26/03/2019,113622,40127.25,99
26/03/2019,113642,40127.22,99
26/03/2019,113702,40127.35,99
26/03/2019,113722,40127.26,99
26/03/2019,113742,40127.28,99
26/03/2019,113802,40127.2,99
26/03/2019,113822,40127.24,99
26/03/2019,113842,40127.22,99
26/03/2019,113902,40127.27,99
26/03/2019,113922,40127.29,99
26/03/2019,113942,40127.25,99
26/03/2019,114002,40127.15,99
26/03/2019,114022,40127.24,99
26/03/2019,114042,40127.22,99
26/03/2019,114102,40127.18,99
26/03/2019,114122,40127.15,99
26/03/2019,114142,40127.15,99
26/03/2019,114202,40127.06,99
26/03/2019,114222,40127.12,99
26/03/2019,114242,40127.15,99
26/03/2019,114302,40127.22,99
26/03/2019,114322,40127.12,99
26/03/2019,114342,40127.09,99
26/03/2019,114402,40127.09,99
26/03/2019,114422,40127.11,99
26/03/2019,114442,40127.16,99
26/03/2019,114502,40127.24,99
26/03/2019,114522,40127.21,99
26/03/2019,114542,40127.18,99
26/03/2019,114602,40127.18,99
26/03/2019,114622,40127.18,99
26/03/2019,114642,40127.17,99
26/03/2019,114702,40127.08,99
26/03/2019,114722,40127.08,99
26/03/2019,114742,40127,99
26/03/2019,114802,40127.07,99
26/03/2019,114822,40127.1,99
26/03/2019,114842,40127.14,99
26/03/2019,114902,40127.15,99
26/03/2019,114922,40127.22,99
26/03/2019,114942,40127.12,99
26/03/2019,115002,40127.14,99
26/03/2019,115022,40127.12,99
26/03/2019,115042,40127.12,99
26/03/2019,115102,40127.07,99
26/03/2019,115122,40127.11,99
26/03/2019,115142,40127.08,99
26/03/2019,115202,40127.09,99
26/03/2019,115222,40127.06,99
26/03/2019,115242,40127.14,99
26/03/2019,115302,40127.11,99
26/03/2019,115322,40127.19,99
26/03/2019,115342,40127.07,99
26/03/2019,115402,40127.14,99
26/03/2019,115422,40127.13,99
26/03/2019,115442,40127.18,99
26/03/2019,115502,40127.35,99
26/03/2019,115522,40127.53,99
26/03/2019,115542,40127.54,99
26/03/2019,115602,40127.62,99
26/03/2019,115622,40127.55,99
26/03/2019,115642,40127.56,99
26/03/2019,115702,40127.66,99
26/03/2019,115722,40127.61,99
26/03/2019,115742,40127.71,99
26/03/2019,115802,40127.53,99
26/03/2019,115822,40127.31,99
26/03/2019,115842,40127.16,99
26/03/2019,115902,40126.88,99
26/03/2019,115922,40126.97,99
26/03/2019,115942,40126.79,99
26/03/2019,120002,40126.73,99
26/03/2019,120022,40126.69,99
26/03/2019,120042,40126.58,99
26/03/2019,120102,40126.77,99
26/03/2019,120122,40126.67,99
26/03/2019,120142,40126.77,99
26/03/2019,120202,40126.83,99
26/03/2019,120222,40126.68,99
26/03/2019,120242,40126.82,99
26/03/2019,120302,40126.94,99
26/03/2019,120322,40126.93,99
26/03/2019,120342,40126.19,99
26/03/2019,120402,40021.29,99
26/03/2019,120422,40080.95,99
26/03/2019,120442,40123.29,99
26/03/2019,120502,40124.76,99
26/03/2019,120522,40125.32,99
26/03/2019,120542,40125.65,99
26/03/2019,120602,40125.91,99
26/03/2019,120622,40125.52,99
26/03/2019,120642,40125.99,99
26/03/2019,120702,40125.98,99
26/03/2019,120722,40125.95,99
26/03/2019,120742,40125.85,99
26/03/2019,120802,40125.76,99
26/03/2019,120822,40126.12,99
26/03/2019,120842,40126.09,99
26/03/2019,120902,40126.04,99
26/03/2019,120922,40125.92,99
26/03/2019,120942,40125.68,99
26/03/2019,121002,40125.53,99
26/03/2019,121022,40125.65,99
26/03/2019,121042,40125.96,99
26/03/2019,121102,40125.65,99
26/03/2019,121122,40125.71,99
26/03/2019,121142,40034.77,99
26/03/2019,121202,40126.79,99
26/03/2019,121222,40127.29,99
26/03/2019,121242,40127.11,99
26/03/2019,121302,40126.67,99
26/03/2019,121322,40126.6,99
26/03/2019,121342,40126.56,99
26/03/2019,121402,40126.73,99
26/03/2019,121422,40126.75,99
26/03/2019,121442,40126.33,99
26/03/2019,121502,40126.17,99
26/03/2019,121522,40126.19,99
26/03/2019,121542,40126.33,99
26/03/2019,121602,40126.05,99
26/03/2019,121622,40125.31,99
26/03/2019,121642,40125.39,99
26/03/2019,121702,40125.51,99
26/03/2019,121722,40125.46,99
26/03/2019,121742,40125.4,99
26/03/2019,121802,40125.48,99
26/03/2019,121822,40125.31,99
26/03/2019,121842,40124.84,99
26/03/2019,121902,40125.04,99
26/03/2019,121922,40125.3,99
26/03/2019,121942,40125.3,99
26/03/2019,122002,40125.12,99
26/03/2019,122022,40124.85,99
26/03/2019,122042,40124.78,99
26/03/2019,122102,40124.79,99
26/03/2019,122122,40124.92,99
26/03/2019,122142,40125.22,99
26/03/2019,122202,40125.05,99
26/03/2019,122222,40124.83,99
26/03/2019,122242,40124.77,99
26/03/2019,122302,40124.64,99
26/03/2019,122322,40124.56,99
26/03/2019,122342,40124.52,99
26/03/2019,122402,40124.53,99
26/03/2019,122422,40124.74,99
26/03/2019,122442,40124.64,99
26/03/2019,122502,40124.66,99
26/03/2019,122522,40124.79,99
26/03/2019,122542,40124.8,99
26/03/2019,122602,40124.88,99
26/03/2019,122622,40124.69,99
26/03/2019,122642,40124.62,99
26/03/2019,122702,40124.54,99
26/03/2019,122722,40124.5,99
26/03/2019,122742,40124.57,99
26/03/2019,122802,40124.84,99
26/03/2019,122822,40125.06,99
26/03/2019,122842,40124.77,99
26/03/2019,122902,40124.12,99
26/03/2019,122922,40124.09,99
26/03/2019,122942,40124.23,99
26/03/2019,123002,40124.15,99
26/03/2019,123022,40124.21,99
26/03/2019,123042,40124.15,99
26/03/2019,123102,40124.07,99
26/03/2019,123122,40124.08,99
26/03/2019,123142,40124.18,99
26/03/2019,123202,40124.34,99
26/03/2019,123222,40124.45,99
26/03/2019,123242,40125.29,99
26/03/2019,123302,40125.6,99
26/03/2019,123322,40125.44,99
26/03/2019,123342,40125.69,99
26/03/2019,123402,40125.62,99
26/03/2019,123422,40125.79,99
26/03/2019,123442,40125.97,99
26/03/2019,123502,40126.1,99
26/03/2019,123522,40126.19,99
26/03/2019,123542,40126.2,99
26/03/2019,123602,40126.31,99
26/03/2019,123622,40126.44,99
26/03/2019,123642,40126.47,99
26/03/2019,123702,40126.41,99
26/03/2019,123722,40126.43,99
26/03/2019,123742,40126.53,99
26/03/2019,123802,40126.52,99
26/03/2019,123822,40126.46,99
26/03/2019,123842,40126.51,99
26/03/2019,123902,40126.52,99
26/03/2019,123922,40126.61,99
26/03/2019,123942,40126.56,99
26/03/2019,124002,40126.6,99
26/03/2019,124022,40126.65,99
26/03/2019,124042,40126.58,99
26/03/2019,124102,40126.65,99
26/03/2019,124122,40126.55,99
26/03/2019,124142,40126.63,99
26/03/2019,124202,40126.55,99
26/03/2019,124222,40126.67,99
26/03/2019,124242,40126.56,99
26/03/2019,124302,40126.6,99
26/03/2019,124322,40126.69,99
26/03/2019,124342,40126.71,99
26/03/2019,124402,40126.76,99
26/03/2019,124422,40126.84,99
26/03/2019,124442,40126.93,99
26/03/2019,124502,40127.05,99
26/03/2019,124522,40127.16,99
26/03/2019,124542,40127.24,99
26/03/2019,124602,40127.18,99
26/03/2019,124622,40127.19,99
26/03/2019,124642,40126.96,99
26/03/2019,124702,40127.07,99
26/03/2019,124722,40127.04,99
26/03/2019,124742,40126.92,99
26/03/2019,124802,40126.89,99
26/03/2019,124822,40126.77,99
26/03/2019,124842,40126.6,99
26/03/2019,124902,40126.53,99
26/03/2019,124922,40126.56,99
26/03/2019,124942,40126.54,99
26/03/2019,125002,40126.6,99
26/03/2019,125022,40126.44,99
